code_ins,nom_officiel_rn,nom_unique_etnic,date_debut
57064,PERUWELZ,Péruwelz,1/04/2014
57072,RUMES,Rumes,1/04/2014
57081,TOURNAI,Tournai,1/04/2014
57093,BRUNEHAUT,Brunehaut,1/04/2014
57094,LEUZE-EN-HAINAUT,Leuze-en-Hainaut,1/04/2014
57095,MONT-DE-L'ENCLUS,Mont-de-l'Enclus,1/04/2014
57096,MOUSCRON,Mouscron,1/01/2019
57097,COMINES-WARNETON,Comines-Warneton,1/01/2019
58001,LA LOUVIERE,La Louvière,1/01/2019
58002,BINCHE,Binche,1/01/2019
58003,ESTINNES,Estinnes,1/01/2019
58004,MORLANWELZ,Morlanwelz,1/01/2019
61003,AMAY,Amay,1/04/2014
61010,BURDINNE,Burdinne,1/04/2014
61012,CLAVIER,Clavier,1/04/2014
61019,FERRIERES,Ferrières,1/04/2014
61024,HAMOIR,Hamoir,1/04/2014
61028,HERON,Héron,1/04/2014
61031,HUY,Huy,1/04/2014
61039,MARCHIN,Marchin,1/04/2014
61041,MODAVE,Modave,1/04/2014
61043,NANDRIN,Nandrin,1/04/2014
61048,OUFFET,Ouffet,1/04/2014
61063,VERLAINE,Verlaine,1/04/2014
61068,VILLERS-LE-BOUILLET,Villers-le-Bouillet,1/04/2014
61072,WANZE,Wanze,1/04/2014
61079,ANTHISNES,Anthisnes,1/04/2014
61080,ENGIS,Engis,1/04/2014
61081,TINLOT,Tinlot,1/04/2014
62003,ANS,Ans,1/04/2014
62006,AWANS,Awans,1/04/2014
62009,AYWAILLE,Aywaille,1/04/2014
62011,BASSENGE,Bassenge,1/04/2014
62015,BEYNE-HEUSAY,Beyne-Heusay,1/04/2014
62022,CHAUDFONTAINE,Chaudfontaine,1/04/2014
62026,COMBLAIN-AU-PONT,Comblain-au-Pont,1/04/2014
62027,DALHEM,Dalhem,1/04/2014
62032,ESNEUX,Esneux,1/04/2014
62038,FLERON,Fléron,1/04/2014
62051,HERSTAL,Herstal,1/04/2014
62060,JUPRELLE,Juprelle,1/04/2014
62063,LIEGE,Liège,1/04/2014
62079,OUPEYE,Oupeye,1/04/2014
62093,SAINT-NICOLAS,Saint-Nicolas,1/04/2014
62096,SERAING,Seraing,1/04/2014
62099,SOUMAGNE,Soumagne,1/04/2014
62100,SPRIMONT,Sprimont,1/04/2014
62108,VISE,Visé,1/04/2014
62118,GRACE-HOLLOGNE,Grâce-Hollogne,1/04/2014
62119,BLEGNY,Blegny,1/04/2014
62120,FLEMALLE,Flémalle,1/04/2014
62121,NEUPRE,Neupré,1/04/2014
62122,TROOZ,Trooz,1/04/2014
63001,AMBLEVE,Amblève,1/01/0001
63003,AUBEL,Aubel,1/04/2014
63004,BAELEN,Baelen,1/04/2014
63012,BULLANGE,Bullange,1/01/0001
63013,BUTGENBACH,Butgenbach,1/01/0001
63020,DISON,Dison,1/04/2014
63023,EUPEN,Eupen,1/01/0001
63035,HERVE,Herve,1/04/2014
63038,JALHAY,Jalhay,1/04/2014
63040,LA CALAMINE,La Calamine,1/01/0001
63045,LIERNEUX,Lierneux,1/04/2014
63046,LIMBOURG,Limbourg,1/04/2014
63048,LONTZEN,Lontzen,1/01/0001
63049,MALMEDY,Malmedy,1/04/2014
63057,OLNE,Olne,1/04/2014
63058,PEPINSTER,Pepinster,1/04/2014
63061,RAEREN,Raeren,1/01/0001
63067,SAINT-VITH,Saint-Vith,1/01/0001
63072,SPA,Spa,1/04/2014
63073,STAVELOT,Stavelot,1/04/2014
63075,STOUMONT,Stoumont,1/04/2014
63076,THEUX,Theux,1/04/2014
63079,VERVIERS,Verviers,1/04/2014
63080,WAIMES,Waimes,1/04/2014
63084,WELKENRAEDT,Welkenraedt,1/04/2014
63086,TROIS-PONTS,Trois-Ponts,1/04/2014
63087,BURG-REULAND,Burg-Reuland,1/01/0001
63088,PLOMBIERES,Plombières,1/04/2014
63089,THIMISTER-CLERMONT,Thimister-Clermont,1/04/2014
64008,BERLOZ,Berloz,1/04/2014
64015,BRAIVES,Braives,1/04/2014
64021,CRISNEE,Crisnée,1/04/2014
64023,DONCEEL,Donceel,1/04/2014
64025,FEXHE-LE-HAUT-CLOCHER,Fexhe-le-Haut-Clocher,1/04/2014
64029,GEER,Geer,1/04/2014
64034,HANNUT,Hannut,1/04/2014
64047,LINCENT,Lincent,1/04/2014
64056,OREYE,Oreye,1/04/2014
64063,REMICOURT,Remicourt,1/04/2014
64065,SAINT-GEORGES-SUR-MEUSE,Saint-Georges-sur-Meuse,1/04/2014
64074,WAREMME,Waremme,1/04/2014
64075,WASSEIGES,Wasseiges,1/04/2014
64076,FAIMES,Faimes,1/04/2014
71002,AS,As,1/04/2014
71004,BERINGEN,Beringen,1/04/2014
71011,DIEPENBEEK,Diepenbeek,1/04/2014
71016,GENK,Genk,1/04/2014
71017,GINGELOM,Gingelom,1/04/2014
71020,HALEN,Halen,1/04/2014
71022,HASSELT,Hasselt,1/04/2014
71024,HERK-DE-STAD,Herk-de-Stad,1/04/2014
71034,LEOPOLDSBURG,Leopoldsburg,1/04/2014
71037,LUMMEN,Lummen,1/04/2014
71045,NIEUWERKERKEN,Nieuwerkerken (LIMBURG),1/04/2014
71053,SINT-TRUIDEN,Sint-Truiden,1/04/2014
71057,TESSENDERLO,Tessenderlo,1/04/2014
71066,ZONHOVEN,Zonhoven,1/04/2014
71067,ZUTENDAAL,Zutendaal,1/04/2014
71069,HAM,Ham,1/04/2014
71070,HEUSDEN-ZOLDER,Heusden-Zolder,1/04/2014
72003,BOCHOLT,Bocholt,1/04/2014
72004,BREE,Bree,1/04/2014
72018,KINROOI,Kinrooi,1/04/2014
72020,LOMMEL,Lommel,1/04/2014
72021,MAASEIK,Maaseik,1/04/2014
72030,PEER,Peer,1/04/2014
72037,HAMONT-ACHEL,Hamont-Achel,1/04/2014
72038,HECHTEL-EKSEL,Hechtel-Eksel,1/04/2014
72039,HOUTHALEN-HELCHTEREN,Houthalen-Helchteren,1/04/2014
72041,DILSEN-STOKKEM,Dilsen-Stokkem,1/04/2014
72042,OUDSBERGEN,Oudsbergen,1/01/2019
72043,PELT,Pelt,1/01/2019
73001,ALKEN,Alken,1/04/2014
73006,BILZEN,Bilzen,1/04/2014
73009,BORGLOON,Borgloon,1/04/2014
73022,HEERS,Heers,1/04/2014
73028,HERSTAPPE,Herstappe,1/04/2014
73032,HOESELT,Hoeselt,1/04/2014
73040,KORTESSEM,Kortessem,1/04/2014
73042,LANAKEN,Lanaken,1/04/2014
73066,RIEMST,Riemst,1/04/2014
73083,TONGEREN,Tongeren,1/04/2014
73098,WELLEN,Wellen,1/04/2014
73107,MAASMECHELEN,Maasmechelen,1/04/2014
73109,FOURONS,Fourons,1/04/2014
81001,ARLON,Arlon,1/04/2014
81003,ATTERT,Attert,1/04/2014
81004,AUBANGE,Aubange,1/04/2014
81013,MARTELANGE,Martelange,1/04/2014
81015,MESSANCY,Messancy,1/04/2014
82003,BASTOGNE,Bastogne,1/04/2014
82005,BERTOGNE,Bertogne,1/04/2014
82009,FAUVILLERS,Fauvillers,1/04/2014
82014,HOUFFALIZE,Houffalize,1/04/2014
82032,VIELSALM,Vielsalm,1/04/2014
82036,VAUX-SUR-SURE,Vaux-sur-Sûre,1/04/2014
82037,GOUVY,Gouvy,1/04/2014
