code_ins,date_debut,date_fin,nom_officiel_rn,nom_unique_etnic,actif
23059,1/01/1830,31/12/1964,ONZE-LIEVE-VROUW-LOMBEEK,Onze-Lieve-Vrouw-Lombeek,N
23060,1/01/0001,,OPWIJK,Opwijk,O
23061,1/01/1830,31/12/1976,OUDENAKEN,Oudenaken,N
23062,1/01/0001,,OVERIJSE,Overijse,O
23063,1/01/1830,31/12/1964,PAMEL,Pamel,N
23064,1/01/0001,,PEPINGEN,Pepingen,O
23065,1/01/1830,31/12/1976,PERK,Perk,N
23066,1/01/1830,31/12/1976,PEUTIE,Peutie,N
23067,1/01/1830,31/12/1976,RAMSDONK,Ramsdonk,N
23068,1/01/1830,31/12/1976,RELEGEM,Relegem,N
23069,1/01/1830,31/12/1976,RUISBROEK,Ruisbroek (VLAAMS-BRABANT),N
23070,1/01/1830,31/12/1976,SCHEPDAAL,Schepdaal,N
23071,1/01/1830,31/12/1976,SINT-KATHERINA-LOMBEEK,Sint-Katherina-Lombeek,N
23072,1/01/1830,31/12/1976,SINT-KWINTENS-LENNIK,Sint-Kwintens-Lennik,N
23073,1/01/1830,31/12/1976,SINT-LAUREINS-BERCHEM,Sint-Laureins-Berchem,N
23074,1/01/1830,31/12/1976,SINT-MARTENS-BODEGEM,Sint-Martens-Bodegem,N
23075,1/01/1830,31/12/1976,SINT-MARTENS-LENNIK,Sint-Martens-Lennik,N
23076,1/01/1830,31/12/1976,SINT-PIETERS-KAPELLE,Sint-Pieters-Kapelle (VLAAMS-BRABANT),N
23077,1/01/0001,,SINT-PIETERS-LEEUW,Sint-Pieters-Leeuw,O
23078,1/01/1830,31/12/1976,SINT-STEVENS-WOLUWE,Sint-Stevens-Woluwe,N
23079,1/01/1830,31/12/1976,SINT-ULRIKS-KAPELLE,Sint-Ulriks-Kapelle,N
23080,1/01/1830,31/12/1976,STEENHUFFEL,Steenhuffel,N
23081,1/01/0001,,STEENOKKERZEEL,Steenokkerzeel,O
23082,1/01/1830,31/12/1976,STERREBEEK,Sterrebeek,N
23083,1/01/1830,31/12/1964,STRIJTEM,Strijtem,N
23084,1/01/1830,31/12/1976,STROMBEEK-BEVER,Strombeek-Bever,N
23085,1/01/1830,31/12/1976,TERALFENE,Teralfene,N
23086,1/01/0001,,TERNAT,Ternat,O
23087,1/01/1830,31/12/1976,TOLLEMBEEK,Tollembeek,N
23088,1/01/0001,,VILVOORDE,Vilvoorde,O
23089,1/01/1830,31/12/1976,VLEZENBEEK,Vlezenbeek,N
23090,1/01/1830,31/12/1976,VOLLEZELE,Vollezele,N
23091,1/01/1830,31/12/1976,WAMBEEK,Wambeek,N
23092,1/01/1830,31/12/1976,WEERDE,Weerde,N
23093,1/01/1830,31/12/1976,WOLVERTEM,Wolvertem,N
23094,1/01/0001,,ZAVENTEM,Zaventem,O
23095,1/01/1830,31/12/1976,ZELLIK,Zellik,N
23096,1/01/0001,,ZEMST,Zemst,O
23097,1/01/0001,,ROOSDAAL,Roosdaal,O
23098,1/01/0001,,DROGENBOS,Drogenbos,O
23099,1/01/0001,,KRAAINEM,Kraainem,O
23100,1/01/0001,,LINKEBEEK,Linkebeek,O
23101,1/01/0001,,RHODE-SAINT-GENESE,Rhode-Saint-Genèse,O
23102,1/01/0001,,WEMMEL,Wemmel,O
23103,1/01/0001,,WEZEMBEEK-OPPEM,Wezembeek-Oppem,O
23104,1/01/0001,,LENNIK,Lennik,O
23105,1/01/0001,,AFFLIGEM,Affligem,O
24001,1/01/0001,,AARSCHOT,Aarschot,O
24002,1/01/1922,31/12/1976,ASSENT,Assent,N
24003,1/01/1830,31/12/1976,ATTENHOVEN,Attenhoven,N
24004,1/01/1830,31/12/1976,ATTENRODE,Attenrode,N
24006,1/01/1830,31/12/1976,BAAL,Baal,N
24007,1/01/0001,,BEGIJNENDIJK,Begijnendijk,O
24008,1/01/0001,,BEKKEVOORT,Bekkevoort,O
24009,1/01/0001,,BERTEM,Bertem,O
24010,1/01/1830,31/12/1976,BETEKOM,Betekom,N
24011,1/01/0001,,BIERBEEK,Bierbeek,O
24012,1/01/1830,31/12/1976,BINKOM,Binkom,N
24013,1/01/1830,31/12/1976,BLANDEN,Blanden,N
24014,1/01/0001,,BOORTMEERBEEK,Boortmeerbeek,O
24015,1/01/1882,31/12/1970,BOST,Bost,N
24016,1/01/0001,,BOUTERSEM,Boutersem,O
24017,1/01/1830,31/12/1976,BUDINGEN,Budingen,N
24018,1/01/1830,31/12/1976,BUNSBEEK,Bunsbeek,N
24019,1/01/1830,31/12/1976,DEURNE,Deurne (VLAAMS-BRABANT),N
24020,1/01/0001,,DIEST,Diest,O
24021,1/01/1830,31/12/1970,DORMAAL,Dormaal,N
24022,1/01/1912,31/12/1971,DRIESLINTER,Drieslinter,N
24023,1/01/1830,31/12/1976,DUISBURG,Duisburg,N
24024,1/01/1830,31/12/1970,ELIKSEM,Eliksem,N
24025,1/01/1830,31/12/1976,ERPS-KWERPS,Erps-Kwerps,N
24026,1/01/1830,31/12/1976,EVERBERG,Everberg,N
24027,1/01/1830,31/12/1970,EZEMAAL,Ezemaal,N
24028,1/01/0001,,GEETBETS,Geetbets,O
24029,1/01/1830,31/12/1976,GELRODE,Gelrode,N
24030,1/01/1830,31/12/1980,GLABBEEK-ZUURBEMDE,Glabbeek-Zuurbemde,N
24031,1/01/1830,31/12/1976,GOETSENHOVEN,Goetsenhoven,N
24032,1/01/1830,31/12/1970,GRAZEN,Grazen,N
24033,1/01/0001,,HAACHT,Haacht,O
24035,1/01/1830,31/12/1976,HAKENDOVER,Hakendover,N
24036,1/01/1830,31/12/1976,HALLE-BOOIENHOVEN,Halle-Booienhoven,N
